"Point Name","Latitude","Longitude","Distance (m)"
"NEELIMA NATURAL FOOD'S","17.529288","78.392436","0.00"
"Step Up Dance Institute & Zumba Fitness studio","17.529386","78.392425","10.99"
"Pragna Yoga Studio","17.529171","78.392663","27.34"
"BR'S Kingdom Fitness GYM","17.529903","78.392415","68.45"
"Pragathi Central Juniors","17.527715","78.392316","175.40"
"Sreenidhi Global School, Pragathi Nagar","17.530926","78.394382","275.20"
"WEIGHT LOSS HERBALIFE NUTRITION & COACH","17.527617","78.394873","318.21"
"Cross X Fitness Box Pragathi Nagar","17.526927","78.394495","341.42"
"Butterflies Playschool & Daycare","17.525752","78.392952","396.90"
"EuroKids Preschool at Pragathinagar","17.525719","78.392009","399.40"
"Spring Board International PreSchool","17.527519","78.396574","480.86"
"ULTRA MUSCLE GYM","17.525506","78.394951","497.89"
"Uma's Fitness Studio (Zumba, Aerobics, Yoga)","17.525077","78.394045","498.31"
"Cynthia International School","17.526102","78.396984","598.33"
"Dhyanahitha School","17.536037","78.393171","754.51"
"F99 FIT - Available at cult.fit Gyms","17.522862","78.395446","782.54"
"Kreaative Fitness Pragathi Nagar","17.536340","78.393691","795.35"
"Jaguar Gym","17.522490","78.396503","870.27"
"Bachpan Play School in Pragathi Nagar","17.520980","78.395621","983.56"
"Stark Fitness Studio - Available on cult.fit","17.538402","78.393615","1021.14"
"VRS Vignana Jyothi School","17.537290","78.386270","1104.19"
"J3 FITNESS PLANET GYM","17.535465","78.401477","1179.25"
