Invoice Date,New Category,Product Name,MRP,Selling Price (per Unit),SUM of Sold Qty
01-01-2025,Beverages,ASSAM TEA GINGER TEA POWDER 250GM,190,190,1
01-01-2025,Beverages,BB TAJ MAHAL 275GM,235,235,1
01-01-2025,Beverages,BRU GREEN LABEL 1.2G,2,2,38
01-01-2025,Beverages,CONTINENTAL XTRA 50GM,120,120,1
01-01-2025,Beverages,TAJ MAHAL 100GM,95,95,1
01-01-2025,"Dry Fruits, Nuts & Seeds",ALMONDS 250GM,280,260,2
01-01-2025,"Dry Fruits, Nuts & Seeds",ANJEER 250GM,400,360,3
01-01-2025,"Dry Fruits, Nuts & Seeds",CASHEW 250GM,340,310,1
01-01-2025,"Dry Fruits, Nuts & Seeds",FLAX SEEDS 250GM,60,50,2
01-01-2025,"Dry Fruits, Nuts & Seeds",GF KIMIA DATES 500GM,295,190,1
01-01-2025,"Dry Fruits, Nuts & Seeds",Groundnuts 1 kg,190,170,3
01-01-2025,"Dry Fruits, Nuts & Seeds",Groundnuts 500 gms,95,85,1
01-01-2025,"Dry Fruits, Nuts & Seeds",KAJU HALF 250GM,310,290,1
01-01-2025,"Dry Fruits, Nuts & Seeds",MAHA BEERA SEEDS 100GM,60,60,1
01-01-2025,"Dry Fruits, Nuts & Seeds",PN ORGANIC MAKHANA 50GM,125,125,1
01-01-2025,"Dry Fruits, Nuts & Seeds",PULMAKHANA 100 GM,180,170,2
01-01-2025,"Dry Fruits, Nuts & Seeds",PUMPKIN SEEDS 250GM,200,160,4
01-01-2025,"Dry Fruits, Nuts & Seeds",Putnalu 250GM,45,38,1
01-01-2025,"Dry Fruits, Nuts & Seeds",SATHVI CHIA SEEDS 100GM,100,80,2
01-01-2025,"Dry Fruits, Nuts & Seeds",SD Mango cubes 100gm,45,45,1
01-01-2025,"Dry Fruits, Nuts & Seeds",SD Mango cubes 200gm,90,90,3
01-01-2025,"Dry Fruits, Nuts & Seeds",SUNFLOWER SEEDS 250GRM,150,130,1
01-01-2025,"Dry Fruits, Nuts & Seeds",WALLNUTS 250GM,380,360,2
01-01-2025,"Dry Fruits, Nuts & Seeds",WATERMELON SEEDS 250GRM,320,280,1
01-01-2025,General Household & Kitchenware,PREMIER,95,95,2
01-01-2025,General Household & Kitchenware,SABEENA,30,30,2
01-01-2025,General Household & Kitchenware,SIRIDHANYALU BOOK,200,180,1
01-01-2025,General Household & Kitchenware,VERMI COMPOST MIX,30,30,3
01-01-2025,"Grains, Flours & Dals",ANDU KORRALU (Brown top .mlt) 500,160,145,1
01-01-2025,"Grains, Flours & Dals",Arikadu ( kodo),140,110,1
01-01-2025,"Grains, Flours & Dals",Arikalu (kodo),70,60,2
01-01-2025,"Grains, Flours & Dals",BAJRA 1 KG,60,50,1
01-01-2025,"Grains, Flours & Dals",Bajra Flour 1 kg,70,60,1
01-01-2025,"Grains, Flours & Dals",BAJRA IDLY RAVA 400GM,65,65,1
01-01-2025,"Grains, Flours & Dals",BARLEY SEEDS 250GMS,40,35,1
01-01-2025,"Grains, Flours & Dals",BASMATHI RICE 1KG,150,135,1
01-01-2025,"Grains, Flours & Dals",BLACK GRAM 1KG,150,140,1
01-01-2025,"Grains, Flours & Dals",BOMBAY RAVA,70,55,2
01-01-2025,"Grains, Flours & Dals",Bombay Rava 500GM,35,30,1
01-01-2025,"Grains, Flours & Dals",Brown RICE 1KG,70,65,2
01-01-2025,"Grains, Flours & Dals",Chana Flour 1 kg,140,130,3
01-01-2025,"Grains, Flours & Dals",Chana Flour 500 gms,70,65,4
01-01-2025,"Grains, Flours & Dals",Chittimuthaylu rice 1 kg,160,140,1
01-01-2025,"Grains, Flours & Dals",DH URAD GOTA 1KG,215,190,1
01-01-2025,"Grains, Flours & Dals",DISANO OATS 1KG,285,285,1
01-01-2025,"Grains, Flours & Dals",Em jowar idly R 500G,75,75,1
01-01-2025,"Grains, Flours & Dals",EM kodo upma R 500g,129,129,2
01-01-2025,"Grains, Flours & Dals",Em Multimillet upma 500g,129,129,1
01-01-2025,"Grains, Flours & Dals",FLOUR CHARGE,12,12,7
01-01-2025,"Grains, Flours & Dals",Green gram 1 kg,150,130,1
01-01-2025,"Grains, Flours & Dals",GS WHEAT POHA 200 GM,60,60,1
01-01-2025,"Grains, Flours & Dals",HS jowar idly rava 500 gms,65,65,2
01-01-2025,"Grains, Flours & Dals",Idly Rava L 1KG,60,50,5
01-01-2025,"Grains, Flours & Dals",JOWAR YELLOW 1 K,90,90,2
01-01-2025,"Grains, Flours & Dals",KORRALU (FOXTAIL M) 1KG,150,110,3
01-01-2025,"Grains, Flours & Dals",KORRALU (FOXTAIL M) 500GM,65,55,1
01-01-2025,"Grains, Flours & Dals",MELMEKER 250GMS,60,45,2
01-01-2025,"Grains, Flours & Dals",MELMEKER 250GMS,60,50,1
01-01-2025,"Grains, Flours & Dals",MIXED FLOUR,10,10,1
01-01-2025,"Grains, Flours & Dals",MIXED FLOUR,144,144,1
01-01-2025,"Grains, Flours & Dals",MIXED FLOUR,217,217,1
01-01-2025,"Grains, Flours & Dals",Multigrain 1 kg,100,85,3
01-01-2025,"Grains, Flours & Dals",MUSTARD CAKE,50,50,1
01-01-2025,"Grains, Flours & Dals",PESARA PAPPU 1 KG,170,145,1
01-01-2025,"Grains, Flours & Dals",POORI ATTA,60,55,2
01-01-2025,"Grains, Flours & Dals",PRO ORG MEDIUM POHA 500G,78,78,1
01-01-2025,"Grains, Flours & Dals",Quinova 500 gms,120,105,1
01-01-2025,"Grains, Flours & Dals",RAGI FLOUR 1KG,80,70,6
01-01-2025,"Grains, Flours & Dals",RAGI FLOUR 500GRMS,40,35,1
01-01-2025,"Grains, Flours & Dals",RAGULU 1 KG,70,60,0.5
01-01-2025,"Grains, Flours & Dals",Red Bobarlu 1 kg,190,170,1
01-01-2025,"Grains, Flours & Dals",RED TUDAL 1KG,150,140,1
01-01-2025,"Grains, Flours & Dals",RED WHEAT 1 KG,130,120,2
01-01-2025,"Grains, Flours & Dals",Red Wheat Flour 1 kg,140,130,6
01-01-2025,"Grains, Flours & Dals",RICE FLOUR 1KG,70,50,2
01-01-2025,"Grains, Flours & Dals",SA YELLOW JOWAR RAVA 500GM,95,95,1
01-01-2025,"Grains, Flours & Dals",SABDANA,45,35,1
01-01-2025,"Grains, Flours & Dals",SAMALU (Little millet) 1 kg,170,130,1
01-01-2025,"Grains, Flours & Dals",SAMALU (Little millet) 500 gms,85,65,1
01-01-2025,"Grains, Flours & Dals",SATHVI SABDANA 250GM,45,35,2
01-01-2025,"Grains, Flours & Dals",SH RED POHA 500GM,75,75,1
01-01-2025,"Grains, Flours & Dals",split black gram 500 gms,90,85,1
01-01-2025,"Grains, Flours & Dals",split green gram 500 gms,75,70,1
01-01-2025,"Grains, Flours & Dals",SRILALITHA 5KG PINK B,465,390,1
01-01-2025,"Grains, Flours & Dals",SRILATHA RICE RAVVA 500GM,35,35,6
01-01-2025,"Grains, Flours & Dals",THICK POHA 1KG,80,70,2
01-01-2025,"Grains, Flours & Dals",THICK POHA 500GM,40,35,1
01-01-2025,"Grains, Flours & Dals",THIN POHA 500GM,40,35,2
01-01-2025,"Grains, Flours & Dals",turdal 1kg,220,195,6
01-01-2025,"Grains, Flours & Dals",UDALU (Barnyard millet) 1 kg,140,115,1
01-01-2025,"Grains, Flours & Dals",UDALU (Barnyard millet) 500 gms,70,60,1
01-01-2025,"Grains, Flours & Dals",Urad dall 1 Kg,185,170,3
01-01-2025,"Grains, Flours & Dals",VGR rice 1 kg,70,65,6
01-01-2025,"Grains, Flours & Dals",VYS.SP RICE 1 KG,70,65,12.5
01-01-2025,"Grains, Flours & Dals",VYS.SP.RICE 10 KGS,700,650,1
01-01-2025,"Grains, Flours & Dals",VYS.SP.RICE BAG 1,"1,800.00","1,650.00",3
01-01-2025,"Grains, Flours & Dals",WHEAT 1 KG,60,50,5
01-01-2025,"Grains, Flours & Dals",Wheat Flour 1 kg,70,60,22
01-01-2025,"Grains, Flours & Dals",Wheat Flour 2 kgs,140,120,3
01-01-2025,"Grains, Flours & Dals",Wheat Rava M 1KG,65,55,2
01-01-2025,"Grains, Flours & Dals",Wheat Rava M 500GM,33,30,3
01-01-2025,"Grains, Flours & Dals",Wheat Rava S 1KG,65,55,1
01-01-2025,"Grains, Flours & Dals",Wheat Rava S 500GM,33,30,3
01-01-2025,"Grains, Flours & Dals",White Chana 500GM,120,100,2
01-01-2025,"Grains, Flours & Dals",White jowar.F 1 kg,100,80,8
01-01-2025,"Grains, Flours & Dals",Yellow jowar .F1 kg,110,100,2
01-01-2025,"Grains, Flours & Dals",Yellow jowar.F 500 gms,55,50,1
01-01-2025,"Health, Wellness & Ayurvedic Products",JAMBU SEED CHOORNAM 100GM,80,80,1
01-01-2025,"Health, Wellness & Ayurvedic Products",MD Bringaraj Choornam 100GM,80,80,1
01-01-2025,"Health, Wellness & Ayurvedic Products",MORINGA LEAF POWDER M,80,75,1
01-01-2025,"Health, Wellness & Ayurvedic Products",RB FRUITS &amp;seeds Cranberries,45,45,1
01-01-2025,"Health, Wellness & Ayurvedic Products",RB Max Protein Chinese Manchurian,45,45,1
01-01-2025,"Health, Wellness & Ayurvedic Products",RB Max Protein Choco Almond bar 50g,75,75,2
01-01-2025,"Health, Wellness & Ayurvedic Products",RB Max Protein DESI MASALA 60gm,45,45,1
01-01-2025,Household & Cleaning,GAJANAND BLACK DRAGN 10STI,20,20,3
01-01-2025,Household & Cleaning,VIM TROPICAL LEMON FRESHNESS 250ML,55,55,2
01-01-2025,Milk & Dairy,BROWN EGGS 1P,14,12,28
01-01-2025,Milk & Dairy,BROWN EGGS TRAY 30P,360,330,4
01-01-2025,Milk & Dairy,HRITAGE TONED MILK 500ML,30,30,2
01-01-2025,Milk & Dairy,SANGAM FULL CREAM MILK 500ML,38,38,1
01-01-2025,Milk & Dairy,SANGAM TONED MILK 500ML,30,30,2
01-01-2025,Milk & Dairy,TOTAL CURD 50GMS,10,10,3
01-01-2025,Misc,HOME LIKES,10,10,1
01-01-2025,Oils & Ghee,ANURAG RB OIL,120,100,1
01-01-2025,Oils & Ghee,Black Sesame oil 1 L,440,380,4
01-01-2025,Oils & Ghee,Black Sesame oil 500 ml,220,190,1
01-01-2025,Oils & Ghee,Castor oil 200 ml,100,80,1
01-01-2025,Oils & Ghee,Coconut oil 1 L,440,400,3
01-01-2025,Oils & Ghee,Coconut oil 500 ml,220,200,2
01-01-2025,Oils & Ghee,Cow ghee 500 ml,430,390,1
01-01-2025,Oils & Ghee,Freedom Rice Bran Oil 1L,194,180,4
01-01-2025,Oils & Ghee,GANTASALA A2 COW GHEE 500ML,550,550,1
01-01-2025,Oils & Ghee,Groundnut oil 1 L,360,330,18
01-01-2025,Oils & Ghee,Groundnut oil 5 L,"1,800.00","1,550.00",1
01-01-2025,Oils & Ghee,Groundnut oil 5 L,"1,800.00","1,600.00",5
01-01-2025,Oils & Ghee,Mustard oil 500 ml,220,195,1
01-01-2025,Oils & Ghee,Olive Oil 1 L,"1,100.00",550,1
01-01-2025,Oils & Ghee,Safflower oil 1 L,440,400,3
01-01-2025,Oils & Ghee,Safflower oil 500 ml,220,200,1
01-01-2025,Oils & Ghee,Sesame oil 1 L,590,560,5
01-01-2025,Oils & Ghee,Sesame oil 5 L,"2,950.00","2,700.00",1
01-01-2025,Oils & Ghee,Sesame oil 500ml,295,280,2
01-01-2025,Personal Care & Cosmetics,BAMBOO TOOTH BRUSH,120,120,2
01-01-2025,Personal Care & Cosmetics,BT FRESH NEEM,185,185,1
01-01-2025,Personal Care & Cosmetics,DWI SMARA SOAP 100GM,75,75,5
01-01-2025,Personal Care & Cosmetics,GODREJ NATURAL BLACK,15,15,1
01-01-2025,Personal Care & Cosmetics,KHADI Neem Anti Dandruff Shampoo,199,199,1
01-01-2025,Personal Care & Cosmetics,ORGANIC SPONGE LOOFAH,70,70,2
01-01-2025,Personal Care & Cosmetics,SVE REETHA KUNKUDUKAYALU,199,199,1
01-01-2025,Pooja & Spiritual Items,BALAJI BEL PHOOL DHOOP STICKS 10STK,70,70,1
01-01-2025,Pooja & Spiritual Items,BALAJI BEL PHOOL STICKS 90GM,60,60,1
01-01-2025,Pooja & Spiritual Items,BALAJI LAVENDER DOOP STICK 10STK,125,125,1
01-01-2025,Pooja & Spiritual Items,DEVADARU GD,110,110,1
01-01-2025,Pooja & Spiritual Items,SOSR SWATHHI 365,30,30,1
01-01-2025,Pooja & Spiritual Items,SREE REAL KASTURI STICKS 90GM,72,72,1
01-01-2025,Pooja & Spiritual Items,SWASTIK CAMPHORE,90,90,2
01-01-2025,Pooja & Spiritual Items,VRP APOORVA JAVADHU POW,35,35,1
01-01-2025,Snacks & Ready-to-Eat,ANNAPURNA APPALAM,35,35,3
01-01-2025,Snacks & Ready-to-Eat,BATANA NGT 70GMS,20,20,3
01-01-2025,Snacks & Ready-to-Eat,COPRA LADDU 200GM,100,80,1
01-01-2025,Snacks & Ready-to-Eat,Corn Chips 250GM,40,35,1
01-01-2025,Snacks & Ready-to-Eat,DOSA BATTER 1KG,60,60,1
01-01-2025,Snacks & Ready-to-Eat,FUN TIME CRUNCH,45,45,3
01-01-2025,Snacks & Ready-to-Eat,GANTASALA GINGER CANDY 200GM,105,105,1
01-01-2025,Snacks & Ready-to-Eat,GB SALT COOKIES,60,55,2
01-01-2025,Snacks & Ready-to-Eat,HS Ragi biscuits,50,50,1
01-01-2025,Snacks & Ready-to-Eat,KURNOOL MARMURA,70,55,1
01-01-2025,Snacks & Ready-to-Eat,MORINGA LEAVES PAPAD 200GM,90,90,1
01-01-2025,Snacks & Ready-to-Eat,MP CHOCO ALMOND COOKIE,60,60,2
01-01-2025,Snacks & Ready-to-Eat,PALLI LADDU 200GMS,90,70,3
01-01-2025,Snacks & Ready-to-Eat,PEANUT CHIKKI 450GM,125,125,1
01-01-2025,Snacks & Ready-to-Eat,PN ORGANIC PUFFED RICE 200GM,55,55,1
01-01-2025,Snacks & Ready-to-Eat,Popcorn Seeds 250GM,45,40,1
01-01-2025,Snacks & Ready-to-Eat,PUMPKIN CHIKKI 200GM,140,120,1
01-01-2025,Snacks & Ready-to-Eat,RAJGIRA PEANUT CHIKKI 450GM,125,125,1
01-01-2025,Snacks & Ready-to-Eat,RINGS 200GM,30,30,1
01-01-2025,Snacks & Ready-to-Eat,RSC ORANGE 100GMS,20,20,1
01-01-2025,Snacks & Ready-to-Eat,SALTED PHALLI,65,65,1
01-01-2025,Snacks & Ready-to-Eat,SANDWICH BREAD,55,55,1
01-01-2025,Snacks & Ready-to-Eat,SATHVI MIXED CHIKKI 200GM,120,100,1
01-01-2025,Snacks & Ready-to-Eat,SATHVI PALLI CHIKKI 200GM,100,80,1
01-01-2025,Snacks & Ready-to-Eat,SATHVI REGIVADA 200GM,80,60,1
01-01-2025,Snacks & Ready-to-Eat,SD barnyard Millet with palm jaggery,135,135,1
01-01-2025,Snacks & Ready-to-Eat,SD BLACK GRAM PAPADS,80,80,1
01-01-2025,Snacks & Ready-to-Eat,SD Groundnut with palm jaggery 250gm,135,135,1
01-01-2025,Snacks & Ready-to-Eat,SD JOWAR WITH PALM JAGGERY 250GM,135,135,1
01-01-2025,Snacks & Ready-to-Eat,SD SESAME PAPAD,80,80,2
01-01-2025,Snacks & Ready-to-Eat,SESAME CHIKKI,120,100,1
01-01-2025,Snacks & Ready-to-Eat,SESAME LADDU 200GM,100,80,1
01-01-2025,Snacks & Ready-to-Eat,URBAN MARMURA 450GM,60,55,1
01-01-2025,Snacks & Ready-to-Eat,VD BLACK PEPPER PAPAD 190GM,90,90,1
01-01-2025,Snacks & Ready-to-Eat,VD BOONDI 175GM,60,60,1
01-01-2025,Snacks & Ready-to-Eat,VD MINAPA VADIYAM,65,65,1
01-01-2025,Snacks & Ready-to-Eat,VD RED CHILLI RICEPAPAD 150GM,50,50,1
01-01-2025,Snacks & Ready-to-Eat,VD RICE MURUKU 150GM,50,50,1
01-01-2025,Snacks & Ready-to-Eat,VD RICE PAPAD 150GM,50,50,1
01-01-2025,Snacks & Ready-to-Eat,VD RICE SAGO PAPAD 150GM,55,55,1
01-01-2025,Snacks & Ready-to-Eat,VD SAGOPAPAD 150GM,55,55,1
01-01-2025,Spices & Seasonings,AV Iodized Salt 1KG,28,25,1
01-01-2025,Spices & Seasonings,AVALU 100GM,25,20,1
01-01-2025,Spices & Seasonings,Avalu small 250 gms,60,40,1
01-01-2025,Spices & Seasonings,Biryani Leaf 25GM,30,20,1
01-01-2025,Spices & Seasonings,Chilli powder 1 kg,580,420,1
01-01-2025,Spices & Seasonings,Chilli powder 500 gms,290,210,3
01-01-2025,Spices & Seasonings,DALCHIN POWDER M,100,90,1
01-01-2025,Spices & Seasonings,Dry Mirchi 200 gms,80,60,1
01-01-2025,Spices & Seasonings,Elaichi 25GM,120,95,2
01-01-2025,Spices & Seasonings,Elaichi 25GM,145,120,1
01-01-2025,Spices & Seasonings,JEERA 250 gms,125,105,1
01-01-2025,Spices & Seasonings,Masala Karam 500 gms,260,240,1
01-01-2025,Spices & Seasonings,Menthulu 250 gms,50,45,1
01-01-2025,Spices & Seasonings,Miriyalu 50GM,100,80,2
01-01-2025,Spices & Seasonings,MTR Sambar Powder 200GM,150,150,1
01-01-2025,Spices & Seasonings,NUVVULU 250GM,80,70,4
01-01-2025,Spices & Seasonings,NUVVULU 500GM,160,140,1
01-01-2025,Spices & Seasonings,PN ORGANIC PINK SALT 1KG,124,124,1
01-01-2025,Spices & Seasonings,PRO HIMALAYAN PINK SALT 500GM,68,68,1
01-01-2025,Spices & Seasonings,PRO ORG FENUGREEK 200GM,86,86,1
01-01-2025,Spices & Seasonings,PURO Healthy Salt 1KG,110,110,1
01-01-2025,Spices & Seasonings,PURO Healthy Salt Crystal 1KG,135,135,1
01-01-2025,Spices & Seasonings,RED COPRA 250GMS,85,74,1
01-01-2025,Spices & Seasonings,ROYAL SAFFRON 400GRMS,65,65,2
01-01-2025,Spices & Seasonings,SD Garlic Karam Powder 100GM,65,65,1
01-01-2025,Spices & Seasonings,SH BAY LEAF / TEJ PATTA 30GM,35,35,1
01-01-2025,Spices & Seasonings,SWASTIKS GINGER &amp;GARLIC PASTE,69,69,1
01-01-2025,Spices & Seasonings,Tamarind 250GMS,80,65,1
01-01-2025,Spices & Seasonings,Tamarind 500GM,160,130,1
01-01-2025,Spices & Seasonings,Telaga Pindi 500GM,80,70,1
01-01-2025,Spices & Seasonings,TM MIRCH POWDER 200GM,163,163,1
01-01-2025,Spices & Seasonings,Turmeric powder 250 gms,100,75,3
01-01-2025,Sweeteners,ACHUBELLAM 500GM,50,40,1
01-01-2025,Sweeteners,GS Palm Jaggery Powder 400GM,180,180,1
01-01-2025,Sweeteners,MADHUR SUGAR 1KG,65,55,1
01-01-2025,Sweeteners,Mishri 250 GM,35,30,2
01-01-2025,Sweeteners,Mishri 500GM,70,60,1
01-01-2025,Sweeteners,Natural Honey 1 kg,560,480,1
01-01-2025,Sweeteners,SH JAGGERY POWDER 500GM,80,80,1
01-01-2025,Sweeteners,SUGAR 1KG,60,50,1
01-01-2025,Sweeteners,YB Brown Sugar 1KG,140,140,1
01-01-2025,Sweeteners,YB Brown Sugar 500GM,75,75,2
01-01-2025,Sweeteners,YB JAGGERY POWDER 1KG,140,140,1
01-01-2025,Sweeteners,YB JAGGERY POWDER 500GMS,75,75,4
01-02-2025,Baking & Cooking Aids,Baking Soda 50GM,20,15,1
01-02-2025,Beverages,ASSAM MASALA TEA,199,199,1
01-02-2025,Beverages,KINLEY,20,20,1
01-02-2025,"Dry Fruits, Nuts & Seeds",ALMONDS 250GM,280,260,1
01-02-2025,"Dry Fruits, Nuts & Seeds",ANJEER 250GM,400,360,2
01-02-2025,"Dry Fruits, Nuts & Seeds",BLACK KISMIS 250GM,175,140,1
01-02-2025,"Dry Fruits, Nuts & Seeds",FLAX SEEDS 1KG,240,200,0.3
01-02-2025,"Dry Fruits, Nuts & Seeds",FLAX SEEDS 250GM,60,50,2
01-02-2025,"Dry Fruits, Nuts & Seeds",Groundnuts 1 kg,190,170,8
01-02-2025,"Dry Fruits, Nuts & Seeds",Groundnuts 500 gms,95,85,1
01-02-2025,"Dry Fruits, Nuts & Seeds",MAHA BEERA SEEDS 100GM,60,60,1
01-02-2025,"Dry Fruits, Nuts & Seeds",PULMAKHANA 100 GM,180,170,1
01-02-2025,"Dry Fruits, Nuts & Seeds",PUMPKIN SEEDS 250GM,200,160,3
01-02-2025,"Dry Fruits, Nuts & Seeds",PUTNALU 500GMS,90,76,5
01-02-2025,"Dry Fruits, Nuts & Seeds",SABJA SEEDS 100GM,80,70,1
01-02-2025,"Dry Fruits, Nuts & Seeds",SALTED PISTA 250GM,400,350,1
01-02-2025,"Dry Fruits, Nuts & Seeds",SATHVI CHIA SEEDS 100GM,100,80,5
01-02-2025,"Dry Fruits, Nuts & Seeds",SD Mango cubes 100gm,45,45,4
01-02-2025,"Dry Fruits, Nuts & Seeds",SUNFLOWER SEEDS 250GRM,150,130,2
01-02-2025,"Dry Fruits, Nuts & Seeds",WALLNUTS 250GM,320,290,1
01-02-2025,"Dry Fruits, Nuts & Seeds",YELLOW KISHMISH 250GM,130,110,2
01-02-2025,General Household & Kitchenware,BB BOWL,420,399,1
01-02-2025,General Household & Kitchenware,MATCH BOX,20,20,1
01-02-2025,"Grains, Flours & Dals",AISHWARYA SP 1KG,80,69,4
01-02-2025,"Grains, Flours & Dals",AISHWARYA SP 5KG,400,375,3
01-02-2025,"Grains, Flours & Dals",AMMA RICE RAVA 500GRMS,42,42,2
01-02-2025,"Grains, Flours & Dals",ANDU KORRALU (Brown top .mlt) 500,130,110,2
01-02-2025,"Grains, Flours & Dals",ANDU KORRALU (Browntop.m) 1 kg,260,220,2
01-02-2025,"Grains, Flours & Dals",Arikalu (kodo),70,65,2
01-02-2025,"Grains, Flours & Dals",BAJRA 1 KG,60,50,2.2
01-02-2025,"Grains, Flours & Dals",Bajra Flour 500 gms,35,30,1
01-02-2025,"Grains, Flours & Dals",BARLEY SEEDS 1KG,160,140,0.55
01-02-2025,"Grains, Flours & Dals",BASMATHI RICE 1KG,150,135,3
01-02-2025,"Grains, Flours & Dals",Black gram 500 gms,75,70,1
01-02-2025,"Grains, Flours & Dals",Black uluvalu 250 gms,45,35,1
01-02-2025,"Grains, Flours & Dals",Black uluvalu 500 gms,90,70,1
01-02-2025,"Grains, Flours & Dals",BOMBAY RAVA,70,55,2
01-02-2025,"Grains, Flours & Dals",Bombay Rava 500GM,35,30,4
01-02-2025,"Grains, Flours & Dals",Brown RICE 1KG,70,65,13
